,te
Is there anything else you would like to share with us about today's session ?,"Yes, please provide the text that you would like me to analyze."
-,"Sorry, but I can't analyze the text without any input. Could you please provide me with the text you want me to analyze?"
"The mentor was probably taking the class via mobile and the quality was very poor, specially audio quality. He should use a better microphone at least.","The mentor was probably taking the class via mobile and the quality was very poor, especially audio quality. He should use a better microphone at least. 

{user, Mentor Quality, Negative}"
excellent session.,"excellent session,Overall Session Quality,Positive"
"It was very helpful to me to observe other's talking , so it is like an opportunity for me to look at other and learn from them
",It seems like the overall session quality of this text is positive.
"nothing
","{bot: ""Please provide a text for analysis.""}"
it was nice session,"it was nice session, overall session quality, Positive"
Nothing.,"{user: ""Nothing."", category: ""Miscellaneous"", sentiment: ""Neutral""}"
none,"I'm sorry, but I cannot provide an analysis without any text input. Please provide a text for analysis."
conversation part was very good,"{user: ""The conversation part was very good"", category: ""Overall Session Quality"", sentiment: ""Positive""}"
good guidance  giving oppurtunity,"Good guidance giving opportunity, Mentor Quality, Positive"
No,"I apologize, but I am unable to proceed without any input text. Please provide the text you would like me to analyze."
Everything is good thanks.,"Everything is good, Overall Session Quality, Positive"
everything was good teaching session was good as well,"everything was good teaching session was good as well,Overall Session Quality,Positive"
it was a nice interraction .,"it was a nice interaction,Overall Session Quality,Positive"
NaN,"I'm sorry, but I need a text input in order to analyze it. Could you please provide a text for analysis?"
Today's session has been a wonderful ,"Today's session has been a wonderful, Overall Session Quality, Positive"
Great Session,"Great Session,Overall Session Quality,Positive"
No everything was perfect.,"No everything was perfect,Overall Session Quality,Positive"
It was a good session,"It was a good session,Overall Session Quality,Positive"
.,"I'm sorry, but I need a text from you in order to analyze it. Could you please provide me with the text you want me to analyze?"
no,"I am sorry, but I cannot proceed without a text to analyze. Please provide a text for analysis."
Sir thought us very good understandable ,"Sir taught us very well and made the concepts easy to understand. ,Mentor Quality,Positive"
It was good,"It was good,Overall Session Quality,Positive"
Instructor is full of knowledge and it really help me to understand the point he told.,"Instructor is full of knowledge and it really helped me to understand the point he told, Mentor Quality, Positive"
Session was good,"Session was good,Overall Session Quality,Positive"
Today's session is very basic. But i hope in next session they will explain brief on interview topics.,"Today's session is very basic. But i hope in next session they will explain brief on interview topics.,Overall Session Quality,Positive"
No. Today's session is very clear to me. ,"No. Today's session is very clear to me.,Overall Session Quality,Positive"
Please share all the docs and images showed in live class on dashboard.  Please join on zoom from pc. Mobile phone screen sharing does not works well.,Please share all the documents and images that were shown during the live class on the dashboard. It is recommended to join on Zoom from a PC as mobile phone screen sharing does not work well.
Quality of sound and video can be improved a little but it is good anyway.Thankyou very much  for the session.,"{user: ""Quality of sound and video can be improved a little but it is good anyway. Thank you very much for the session."", Category: ""Overall Session Quality"", Sentiment: ""Positive""}"
This session was confident booster for all of us.  ,"This session was confident booster for all of us,Overall Session Quality,Positive"
mentor please try to take this session from pc for better audio and video quality ,"The mentor was advised to take the session from a PC for better audio and video quality, Mentor Quality, Positive"
"I tried many times, but did not get chance to speak",I'm sorry to hear that you didn't get a chance to speak. It can be frustrating when you're not given the opportunity to participate.
NA ,"I'm sorry, but I need a text to analyze in order to provide the output. Could you please provide a text for analysis?"
It was the first sesson so in future classes I can add more to this.,It seems like you are referring to the overall session quality. The sentiment of this sentence is positive.
How the interviewer asked the question that should be also cover up.,Could you please provide more information or clarify your question? Are you asking for the analysis of the text related to the quality of the interviewer's question?
Please make time at 9 PM,"I'm sorry, but I am an AI language model and I don't have the capability to make appointments or schedule meetings. Is there anything else I can assist you with?"
"good explanation, thank you sir ","good explanation, thank you sir,Overall Session Quality,Positive"
3 problems are discussed out of which 2 are already covered in Arrays class. Initially we have been told that this PPT class for more problem solving rather than teaching basic concepts. but since recursion class its 70 % basic DSA concepts.,"{user: ""3 problems are discussed out of which 2 are already covered in Arrays class. Initially we have been told that this PPT class for more problem solving rather than teaching basic concepts. but since recursion class its 70 % basic DSA concepts.""}"
its amazing,"[{text: ""its amazing"", category: ""Overall Session Quality"", sentiment: ""Positive""}]"
Teacher is great!!,"Teacher is great!!,Mentor Quality,Positive"
No ,text provided
Good Session,"Good Session,Overall Session Quality,Positive"
he is great,"{user: ""he is great"", category: ""Mentor Quality"", sentiment: ""Positive""}"
Good,Good is not a complete sentence or text to analyze. Please provide a more detailed text for analysis.
None,"I'm sorry, but I need a text input in order to analyze it. Please provide a text for analysis."
Nothing,"I'm sorry, but I need a text input in order to analyze it. Could you please provide a text for analysis?"
super duper session.,"super duper session,Miscellaneous,Positive"
good,"I'm sorry, but I need more information or a specific text to analyze. Can you please provide a text for analysis?"
it was very good,"{user: ""it was very good"", category: ""Overall Session Quality"", sentiment: ""Positive""}"
excellent session pls continue the same mentor for other dsa topics,"excellent session pls continue the same mentor for other dsa topics, Mentor Quality, Positive"
session was fantabulous . ,"session was fantabulous,Overall Session Quality,Positive"
Session was really good,"Session was really good,Overall Session Quality,Positive"
Please upload softskills lecture notes.,"Text: Please upload softskills lecture notes.
Category: Miscellaneous
Sentiment: Neutral"
no everything is good,"{user: ""no everything is good"", category: ""Miscellaneous"", sentiment: ""Positive""}"
yes,Please provide the text that you would like me to analyze.
it was an amazing session. Need more of gladden sir sessions.,"it was an amazing session. Need more of gladden sir sessions.,Overall Session Quality,Positive"
Mentor Explained everything very well,"Mentor Explained everything very well, Mentor Quality, Positive"
More algorithm to discuss during 2 long session today just 3algo discuss ,"More algorithm to discuss during 2 long session today just 3 algo discuss,Overall Content Quality,Neutral"
Regarding Hard copy of Notes and Assignment covered in class. As online videos are time consuming.,"Regarding Hard copy of Notes and Assignment covered in class. As online videos are time consuming.,Miscellaneous,Neutral"
Gladden sir's explanation was amazing .,"Gladden sir's explanation was amazing, Mentor Quality, Positive"
the way of taking lecture is excellent that voice attract student mind toward lecture and teaching also excellent,"the way of taking lecture is excellent that voice attract student mind toward lecture and teaching also excellent, Mentor Quality,Positive"
"I understand the today concept thoroughly I request to you if it possible to conduct the array,2d array and string concept with this mentor again","I'm glad to hear that you understood the concept thoroughly. I will try my best to convey your request to the mentor and see if it is possible to conduct sessions on array, 2D array, and string concepts again."
"Gladden Rumao is a great mentor for DSA , want more sessions from him, if possible even arrays sessions from him again. Gladden makes each problem solving easy to understand and interesting to learn. Gladden's way of teaching can make any learner develop a genuine interest for the topic he teaches.","[{text: ""Gladden Rumao is a great mentor for DSA , want more sessions from him, if possible even arrays sessions from him again. Gladden makes each problem solving easy to understand and interesting to learn. Gladden's way of teaching can make any learner develop a genuine interest for the topic he teaches."", category: ""Mentor Quality"", sentiment: ""Positive""},
{text: ""Gladden Rumao is a great mentor for DSA , want more sessions from him, if possible even arrays sessions from him again. Gladden makes each problem solving easy to understand and interesting to learn. Gladden's way of teaching can make any learner develop a genuine interest for the topic he teaches."", category: ""Overall Session Quality"", sentiment: ""Positive""},
{text: ""Gladden Rumao is a great mentor for DSA , want more sessions from him, if possible even arrays sessions from him again. Gladden makes each problem solving easy to understand and interesting to learn. Gladden's way of teaching can make any learner develop a genuine interest for the topic he teaches."", category: ""Overall Content Quality"", sentiment: ""Positive""},
{text: ""Gladden Rumao is a great mentor for DSA , want more sessions from him, if possible even arrays sessions from him again. Gladden makes each problem solving easy to understand and interesting to learn. Gladden's way of teaching can make any learner develop a genuine interest for the topic he teaches."", category: ""Overall Program Quality"", sentiment: ""Positive""},
{text: ""Gladden Rumao is a great mentor for DSA , want more sessions from him, if possible even arrays sessions from him again. Gladden makes each problem solving easy to understand and interesting to learn. Gladden's way of teaching can make any learner develop a genuine interest for the topic he teaches."", category: ""Miscellaneous"", sentiment: ""Positive""}]"
Extend the assignment submission date.,The assignment submission date should be extended. The deadline is too tight and it would be beneficial to have more time to complete the assignment.
It was great,"It was great,Overall Session Quality,Positive"
na,"I'm sorry, but I need a text input from you in order to analyze it. Could you please provide a text for me to analyze?"
"it was good
","it was good,Overall Session Quality,Positive"
his teaching style is a good,"{user: ""His teaching style is good"", category: ""Mentor Quality"", sentiment: ""Positive""}"
Good ,"Good, Overall Session Quality, Positive"
"It was Intriguing session, quality session to be defined","It seems like you are describing a session. To properly analyze the text, could you please provide more details or context about the session?"
Everything is ok,"Everything is ok,Overall Session Quality,Neutral"
Need to keep in time limit.,"Need to keep in time limit,Overall Session Quality,Positive"
Sir is great!,"{user: ""Sir is great!"", category: ""Mentor Quality"", sentiment: ""Positive""}"
goood,"goood, Miscellaneous, Positive"
Awesome ,"Text: Awesome
Category: Miscellaneous
Sentiment: Positive"
All good,"All good,Overall Session Quality,Positive"
nothing,"I'm sorry, but I need some text to analyze. Please provide a text for analysis."
Na,"I'm sorry, but I couldn't understand your input. Could you please provide a valid text for analysis?"
Today's topic is bit difficult for me,"Today's topic is bit difficult for me,Overall Content Quality,Negative"
Please upload soft skill day 1 resources.,"Sorry, but I am unable to upload or provide resources as I am a text analyzer and do not have the capability to upload files. My purpose is to analyze and provide insights on text-based information."
it was good session,"it was good session,Overall Session Quality,Positive"
if the coding is in python would be better,Sure! I can help you analyze the text using Python. Please provide me with the text you want to analyze.
Started understanding DSA....,"Started understanding DSA,Overall Content Quality,Positive"
 i not under stand dsa properly,I'm sorry to hear that you're having trouble understanding DSA (Data Structures and Algorithms). Can you provide more details or specific questions about DSA that you need help with?
mentor is repeating every sentence feels Erratic,The mentor is repeating every sentence and it feels erratic.
It was good ,"It was good,Overall Session Quality,Positive"
"Great session as always, gladden has teaching skill and its easy to understand concepts","Great session as always, glad to have teaching skills and it's easy to understand concepts,Overall Session Quality,Positive"
Currently not ,able to perform the task as it requires a specific text input to analyze. Please provide the text that needs to be analyzed.
"Nothing
","Sorry, but I need a text to analyze. Could you please provide a text for analysis?"
It was really great class,"It was really great class,Overall Session Quality,Positive"
need more of his sessions,"I'm sorry, but I'm not sure what you're asking for. Could you please provide more context or clarify your request?"
To the point,"I'm sorry, but I need some text to analyze. Could you please provide me with the text you would like me to analyze?"
Best,"I'm sorry, but I need more information. Could you please provide the text that you would like me to analyze?"
Kanika is much better. She knows how to take this type of batch. Its is not a basic level batch. In one lecture 3 ques are taken what's the point of attending. He is a good teacher but  he spend so much time on questions.,"[{user: ""Kanika is much better. She knows how to take this type of batch. Its is not a basic level batch. In one lecture 3 ques are taken what's the point of attending. He is a good teacher but he spend so much time on questions.""}, {bot: ""Kanika is much better. She knows how to take this type of batch. Its is not a basic level batch. In one lecture 3 ques are taken what's the point of attending. He is a good teacher but he spend so much time on questions., Mentor Quality, Positive""}]"
"Tutor is good, he explain very well","Tutor is good, he explains very well, Mentor Quality, Positive"
The session is really helpful in revision of concepts.,"The session is really helpful in revision of concepts,Overall Session Quality,Positive"
session was good ,"{user: ""session was good"", category: ""Overall Session Quality"", sentiment: ""Positive""}"
he is quite professional. ill suggest make a seprate cource of dsa from basic to advance with onlyy gladden as a mentor.,he is quite professional. I'll suggest making a separate course of DSA from basic to advanced with only Gladden as a mentor.
Going great,"Going great, Overall Session Quality, Positive"
Awesome always,"Awesome always,Miscellaneous,Positive"
Good session,"Good session,Overall Session Quality,Positive"
nice session,"nice session, Overall Session Quality, Positive"
"Great Session,As always

","Great Session,As always,Overall Session Quality,Positive"
Good Explanation ,"{user: ""Good Explanation"", category: ""Overall Session Quality"", sentiment: ""Positive""}"
"no, today's session was very informative","{user: ""no, today's session was very informative"", category: ""Overall Session Quality"", sentiment: ""Positive""}"
Great session for beginners to understand or who wajt to transition to IT field,"Great session for beginners to understand or who want to transition to IT field,Overall Content Quality,Positive"
Great session ,"Great session, Overall Session Quality, Positive"
"please conduct some array,2d array and string with same mentor","Sure! Here are some examples of array, 2D array, and string related to the topic ""mentor"":

1. Array:
   - ""The mentor provided an array of resources to help us understand the topic better.""
   - ""I received an array of feedback from my mentor, which was very helpful in improving my skills.""

2. 2D Array:
   - ""The mentor organized the student data in a 2D array, making it easier to analyze and compare their performance.""
   - ""We created a 2D array to represent the seating arrangement in the mentor's classroom.""

3. String:
   - ""The mentor shared an inspiring string of quotes to motivate us during the session.""
   - ""I received a string of emails from my mentor, containing important updates and information.""

Please note that the above examples are just for demonstration purposes and may not reflect real-life situations."
Notes and Code Solution should be shared and easy to find. Please ,make sure to organize and label them properly.
All good.Understood everything,"Text: ""All good. Understood everything""
Category: Miscellaneous
Sentiment: Positive"
Gladden Rumao is a fantastic mentor. He should take all the DSA sessions.,"Gladden Rumao is a fantastic mentor, Mentor Quality, Positive."
Very Good,"Very Good,Overall Session Quality,Positive"
speaker's speed is bit faster than previous one.,"speaker's speed is bit faster than previous one, Mentor Quality, Neutral"
it's perfect sir teaches us well,"it's perfect sir teaches us well, Mentor Quality, Positive"
great sessions . thanks for the initiative.,"great sessions, Overall Session Quality, Positive"
Going great ,"Going great,Overall Session Quality,Positive"
Total clear,"I'm sorry, but I couldn't understand your request. Could you please provide more specific information or a sample text for analysis?"
Awsm session,"Awsm session,Overall Session Quality,Positive"
Code and Notes,"I will analyze the given text and categorize it into four categories: mentor quality, overall session quality, overall content quality, and overall program quality. Additionally, I will perform sentiment analysis on each sentence. Here is an example of how the output will look like:

Input:
""The mentor was probably taking the class via mobile and the quality was very poor, especially audio quality. He should use a better microphone at least.""

Output:
[
  {
    ""text"": ""The mentor was probably taking the class via mobile and the quality was very poor, especially audio quality. He should use a better microphone at least."",
    ""category"": ""Mentor Quality"",
    ""sentiment"": ""Negative""
  },
  {
    ""text"": ""The quality of the session was not up to the mark. The mentor seemed unprepared."",
    ""category"": ""Overall Session Quality"",
    ""sentiment"": ""Negative""
  },
  {
    ""text"": ""The content covered in the session was informative and well-explained."",
    ""category"": ""Overall Content Quality"",
    ""sentiment"": ""Positive""
  },
  {
    ""text"": ""The program provided a comprehensive learning experience with a good mix of theory and practicals."",
    ""category"": ""Overall Program Quality"",
    ""sentiment"": ""Positive""
  },
  {
    ""text"": ""The mentor was punctual and answered all the questions effectively."",
    ""category"": ""Miscellaneous"",
    ""sentiment"": ""Positive""
  }
]"
It was awesome,"It was awesome,Overall Session Quality,Positive"
Great Session as always,"Great Session as always,Overall Session Quality,Positive"
N/A... good session...,"N/A... good session...,Overall Session Quality,Positive"
All okay,"Text: ""All okay""
Category: Miscellaneous
Sentiment: Neutral"
It's to good,It seems like the text you provided is incomplete. Could you please provide more context or information so that I can analyze it properly?
"amazing session, even though instructor code in java I am able to convert that in python by myself","amazing session, even though instructor code in java I am able to convert that in python by myself,Overall Session Quality,Positive"
Awsome session ,"Awsome session,Overall Session Quality,Positive"
good teaching and easy to understand like a college classroom,"good teaching and easy to understand like a college classroom, Mentor Quality, Positive"
Session was good and instructor really explained it very well.,"Session was good and instructor really explained it very well,Overall Session Quality,Positive"
Teaching method is very effective,"Teaching method is very effective,Overall Session Quality,Positive"
"Please all DSA lecture provided to glladen sir because he is explained every thing very well.
❤👌👍",Please provide more context or specific text for analysis.
Everything was perfect,"Everything was perfect,Overall Session Quality,Positive"
please change the tutor.,"I'm sorry, but I am unable to change the tutor as I am a text analyzer and do not have control over the tutor selection process. My role is to analyze and provide feedback on the text provided. Is there anything else I can assist you with?"
Sir explain well in each session and do great work,"Sir explain well in each session and do great work,Overall Session Quality,Positive"
excellent,The text you provided does not contain any specific information or context to be analyzed. Could you please provide a more detailed text or example for analysis?
no fear when gladden sir is here,"no fear when gladden sir is here, Mentor Quality, Positive"
Nice,"I'm sorry, but I need more information or a specific text to analyze. Can you please provide me with a text that I can analyze?"
" i m very thankfully  to have such  skilled knowledgeable mentor  to share idea ,knowledge to help us ","i m very thankful to have such a skilled and knowledgeable mentor to share ideas and knowledge to help us, Mentor Quality,Positive"
knowlegable seesion & also motivational tq,"The overall session quality is very good. The mentor is knowledgeable and the session is also motivational. Overall Session Quality, Positive"
"Yes
I am final year student my graduation year will be 2024 should i apply for job fair?
","Text: ""I am a final year student and my graduation year will be 2024. Should I apply for the job fair?""

Category: Miscellaneous

Sentiment: Neutral"
overall very good session. learned soo many things. good wishes ,"overall very good session,Overall Session Quality,Positive"
Thanks for the session and valuable information.,Thanks for your feedback! I'm glad you found the session valuable.
Not for today's session,"I'm sorry, but I'm unable to assist with that."
very Informative,"very Informative,Overall Content Quality,Positive"
Have more session from Krish Sir... :),Have more session from Krish Sir... :)
Overall good,"Overall Session Quality, Positive"
Nothing more,"{user: ""Nothing more"", category: ""Miscellaneous"", sentiment: ""Neutral""}"
"Helps in maintaining the consistency
","Helps in maintaining the consistency, Mentor Quality, Positive"
Overall it was good session ,"Overall it was good session,Overall Session Quality,Positive"
Very good ,"Very Good,Overall Session Quality,Positive"
Fantastic ,"Fantastic,Overall Session Quality,Positive"
good session,"good session, Overall Session Quality, Positive"
 Got an idea where to be improved ,"Got an idea where to be improved,Overall Content Quality,Neutral"
It was very informative ,"It was very informative,Overall Content Quality,Positive"
"Plzzz do DSA classes in slow pace,very hard to consume","Plzzz do DSA classes in slow pace, very hard to consume,Overall Session Quality,Negative"
Very Nice Explaination,"Very Nice Explanation,Overall Session Quality,Positive"
all good,"all good,Overall Session Quality,Positive"
no ,"I'm sorry, but I need a text input from you in order to analyze it. Could you please provide a text for analysis?"
Nothing to Say Just Awesome,"Nothing to Say Just Awesome,Overall Session Quality,Positive"
"Session was good, Thank you","Session was good, Thank you, Overall Session Quality, Positive"
Krish is the best!!,"Krish is the best!!, Mentor Quality, Positive"
Jabri...,"I'm sorry, but I need more context or text to analyze. Could you please provide me with the complete text?"
Only basics of DSA  overview atleast.,"Only basics of DSA overview at least, Overall Content Quality, Neutral"
It was very informative.,"It was very informative,Overall Content Quality,Positive"
session is very good and we not more such sessions,"session is very good and we not more such sessions,Overall Session Quality,Positive"
plz check the assignments which we have submitted,"The assignments which we have submitted
Category: Miscellaneous
Sentiment: Neutral"
Great Session with Krish Sir,"Great Session with Krish Sir,mentor Quality,Positive"
Excellent Session,"Excellent Session,Overall Session Quality,Positive"
The session was good and informative.,"The session was good and informative,Overall Session Quality,Positive"
Krish sir was amazing .,"Krish sir was amazing, Mentor Quality, Positive"
"today session is great. i have request to add c++ in dsa mock test, thank you.","[{text: ""today session is great."", category: ""Overall Session Quality"", sentiment: ""Positive""},
 {text: ""i have request to add c++ in dsa mock test, thank you."", category: ""Overall Content Quality"", sentiment: ""Positive""}]"
Sir Please Make Some Video Or Session Regarding DSA for FSDS Student,The overall session quality of the video or session regarding DSA for FSDS students is not specified in the given text.
every thing is ok,"{user: ""every thing is ok"", category: ""Miscellaneous"", sentiment: ""Neutral""}"
conduct more session like this.,"conduct more session like this,Overall Session Quality,Positive"
amazing inspiration and guidance on how to create profiles on many websites.,"amazing inspiration and guidance on how to create profiles on many websites, Mentor Quality, Positive"
I am from fsds may 2022. we are not taught DSA at all. DSA was in java. ,"I'm sorry to hear that you haven't been taught DSA at all in your program. It's important to have a strong foundation in data structures and algorithms, as they are fundamental to computer science. The fact that DSA was taught in Java is not necessarily a negative aspect, as Java is a widely used programming language in the industry. However, it would have been beneficial if DSA had been taught in a language that is commonly used for algorithmic coding interviews, such as Python or C++. Overall, the lack of DSA instruction is a concern and may impact your preparedness for future technical challenges."
"I Thought about resume building..but mainly focused on communication ,and sharing knowledge.","I will analyze the text based on the given categories and provide the sentiment for each sentence. Here is the analysis:

1. ""I thought about resume building.."" - Miscellaneous, Neutral
2. ""but mainly focused on communication"" - Overall Session Quality, Positive
3. ""and sharing knowledge"" - Mentor Quality, Positive

Overall Sentiment: Positive"
Nothing as such,"Nothing as such,Miscellaneous,Neutral"
"Today's session was good. But regarding DSA Assignments some questions are really tough and I am not able to solve them, is it ok to submit assignments leaving a few tough questions.","Today's session was good, Overall Session Quality, Positive
Regarding DSA Assignments some questions are really tough and I am not able to solve them, Overall Content Quality, Negative
Is it ok to submit assignments leaving a few tough questions, Miscellaneous, Neutral"
We got most out of it,"We got most out of it,Overall Content Quality,Positive"
Knowledge shared in the session was awesome. Really got boosted up. Thank u Kris Sir.  ,"{user: ""Knowledge shared in the session was awesome. Really got boosted up. Thank u Kris Sir."",
category: ""Overall Session Quality"",
sentiment: ""Positive""}"
want these type of session once before ending ppt,"Sure, I can help you with that. Could you please provide me with the text that you would like me to analyze?"
Good enough ,"Good enough,Overall Session Quality,Neutral"
Good experience with these daily sessions and i hope we will get the same experience in the placement time too. 😊,"Good experience with these daily sessions, Overall Session Quality, Positive"
"Today session was Really Informative, we want more session by Krish Naik sir in upcoming days.","Today session was Really Informative, we want more session by Krish Naik sir in upcoming days.,Overall Session Quality,Positive"
"If you are preparing DSA for basics, then it will be good for us if we can do the DSA assignments after completing that sessions because at this point of time I'm not understanding most of the parts of DSA and solving the assignments by taking help of google which is not much fruitful for me and also I have no other options because i'm not able to understand the topics and there is a timeline to submit the assignments.","If you are preparing DSA for basics, then it will be good for us if we can do the DSA assignments after completing that sessions because at this point of time I'm not understanding most of the parts of DSA and solving the assignments by taking help of google which is not much fruitful for me and also I have no other options because i'm not able to understand the topics and there is a timeline to submit the assignments.
Overall Content Quality,Neutral"
Everything went well,"Everything went well,Overall Session Quality,Positive"
